model,explain_method,seed,function,samples,dimension,noise,variable_index,score,is_active,source_file
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,85,0.0539772510528564,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,86,0.0163897667080163,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,87,0.0,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,88,0.0,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,89,0.0637780800461769,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,90,0.0254840049892663,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,91,0.0833491459488868,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,92,0.0005278587341308,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,93,6.620088970521465e-05,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,94,0.018917242065072,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,95,0.0,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,96,0.0470880679786205,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,97,0.0040167965926229,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,98,0.0041933855973184,0,core_d100_nonoracle_scores.csv
KAN,perm,0,core_d100_nonoracle_scores,1024,100,0.0,99,0.0200975742191076,0,core_d100_nonoracle_scores.csv
KAN,grad,1,core_d100_nonoracle_scores,1024,100,0.0,0,3.560910701751709,1,core_d100_nonoracle_scores.csv
KAN,grad,1,core_d100_nonoracle_scores,1024,100,0.0,1,1.03201425075531,1,core_d100_nonoracle_scores.csv
KAN,grad,1,core_d100_nonoracle_scores,1024,100,0.0,2,0.2950920462608337,1,core_d100_nonoracle_scores.csv
KAN,grad,1,core_d100_nonoracle_scores,1024,100,0.0,3,0.2422902584075927,1,core_d100_nonoracle_scores.csv
KAN,grad,1,core_d100_nonoracle_scores,1024,100,0.0,4,0.231268897652626,0,core_d100_nonoracle_scores.csv
KAN,grad,1,core_d100_nonoracle_scores,1024,100,0.0,5,0.4515400230884552,0,core_d100_nonoracle_scores.csv
KAN,grad,1,core_d100_nonoracle_scores,1024,100,0.0,6,0.2491667121648788,0,core_d100_nonoracle_scores.csv
KAN,grad,1,core_d100_nonoracle_scores,1024,100,0.0,7,0.2712094783782959,0,core_d100_nonoracle_scores.csv
KAN,grad,1,core_d100_nonoracle_scores,1024,100,0.0,8,0.0955925732851028,0,core_d100_nonoracle_scores.csv
KAN,grad,1,core_d100_nonoracle_scores,1024,100,0.0,9,0.2679504156112671,0,core_d100_nonoracle_scores.csv
KAN,grad,1,core_d100_nonoracle_scores,1024,100,0.0,10,0.2931081354618072,0,core_d100_nonoracle_scores.csv
KAN,grad,1,core_d100_nonoracle_scores,1024,100,0.0,11,0.2117822766304016,0,core_d100_nonoracle_scores.csv
KAN,grad,1,core_d100_nonoracle_scores,1024,100,0.0,12,0.3168845474720001,0,core_d100_nonoracle_scores.csv
KAN,grad,1,core_d100_nonoracle_scores,1024,100,0.0,13,0.2375885546207428,0,core_d100_nonoracle_scores.csv
KAN,grad,1,core_d100_nonoracle_scores,1024,100,0.0,14,0.1369044333696365,0,core_d100_nonoracle_scores.csv
KAN,grad,1,core_d100_nonoracle_scores,1024,100,0.0,15,0.2697498798370361,0,core_d100_nonoracle_scores.csv
KAN,grad,1,core_d100_nonoracle_scores,1024,100,0.0,16,0.2793240547180176,0,core_d100_nonoracle_scores.csv
KAN,grad,1,core_d100_nonoracle_scores,1024,100,0.0,17,0.2929794788360595,0,core_d100_nonoracle_scores.csv
KAN,grad,1,core_d100_nonoracle_scores,1024,100,0.0,18,0.3258228003978729,0,core_d100_nonoracle_scores.csv
KAN,grad,1,core_d100_nonoracle_scores,1024,100,0.0,19,0.1573823541402816,0,core_d100_nonoracle_scores.csv
KAN,grad,1,core_d100_nonoracle_scores,1024,100,0.0,20,0.4058730602264404,0,core_d100_nonoracle_scores.csv
KAN,grad,1,core_d100_nonoracle_scores,1024,100,0.0,21,0.2186208069324493,0,core_d100_nonoracle_scores.csv
KAN,grad,1,core_d100_nonoracle_scores,1024,100,0.0,22,0.3856928944587707,0,core_d100_nonoracle_scores.csv
